;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;"""Å gjøre data tilgjengelig for viderebruk handler om å gi næringsliv, forskere og sivilsamfunn tilgang til åpne data som offentlig forvaltning har, på en slik måte at de lett kan brukes i nye sammenhenger av både mennesker og maskiner. "" Definition from https://www.regjeringen.no/no/tema/statlig-forvaltning/ikt-politikk/viderebruk-av-offentlig-informasjon/id2343341/

Unofficial translation:
Making data accessible for re-use is about giving businesses, scientists and civil society access to open data that the public administration possess, in such a way that they are easily applicable in new contexts by both humans and machines.  ";Confirm;;;;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";yes;"The Norwegian Digitalisation Agency has implemented a methologhy for measuring impact of reuse. The first result are ready in august 2023 (no links available). In addition, the national portal provides crowdsourced examples of reuse: https://datalandsbyen.norge.no/category/2/gode-eksempler-p%C3%A5-bruk . These are also automatically linked to the datasets in use, and integrated with the dataset catalog. Example: https://data.norge.no/datasets/68d08f28-a16d-4fab-a953-ed4ab08ce2e2 

In the data portal, the number of published datasets and the number of new ones are used as a measure of data reuse in the public sector. A new service catalog with a link to datasets is envisaged as a possible future indicator.";Confirm;;;;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";no ;;Confirm;;;;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Not Applicable;;;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;"""Data as a resource"", focuses on the impact of sharing data between public and private sector. The policy emphasize how data may have be an economic resource and contribute to economic growth and creating new activities. 
https://www.regjeringen.no/no/dokumenter/meld.-st.-22-20202021/id2841118/?ch=1

A framework has also been developed to measure impact. The framework is now in a testing phase. Impact is defined as socio-economic value + private economic value: https://www.digdir.no/media/3339/download (p. 17).";Confirm;;;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";yes;"The Norwegian Digitalisation Agency has developed and implemented a methologhy for measuring impact of reuse in the private sector. The first result are ready in august 2023 (no links available).

A framework has also been developed to measure impact. The framework is now in a testing phase. Impact is defined as socio-economic value + private economic value: https://www.digdir.no/media/3339/download (p. 17).

The Institute of Transport Economics (Transportøkonomisk institutt, TØI) is national institution for transport research and development.  The Institute recently conducted a study where open science methodology was used. Norway is still assessing whether this is a suitable method. The analyzes so far indicate that the method is not suitable for measuring impact of data reuse. The method used is The futures wheel: https://en.wikipedia.org/wiki/Futures_wheel
https://www.toi.no/english/?lang=en_GB";Confirm;;;;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;"The Norwegian Language Bank. In order to develop high-quality language technology for Norwegian big datasets with Norwegian speech and text are needed. Språkbanken, the Language Bank, at the National Library of Norway, provides such datasets. The resources are aimed at companies that develop language technology software, as well as language researchers and students, and all the resources we create are available online and have an open-source license. 

Nemonoor is a national center for artificial intelligence (AI) consisting of 8 Norwegian companies with broad expertise in AI: https://www.nemonoor.no/om-oss";Confirm;;;;;
;4.2 Measuring reuse;;;;;;;;
I8;"Have any public bodies in your country launched or performed any activities in the past year to understand which and how (open) datasets are reused?

For Explanation:
* If yes, which of the following activities?
* Multiple answers are possible.";yes;N/A;Change;Yes;N/A;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;
I8-a;Automated feedback mechanisms tracking users´ access to datasets;new question;new question;Change;No;;;;
