;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;The article 4 of Public Information Access Act says: (3) Re-use of information of a public nature means use by natural or legal persons for gainful or non-gainful purposes except for the original purpose within the public task for which the documents were prepared. The use of information for the performance of public tasks in a body or the exchange of information between bodies for the performance of public tasks shall not be considered as re-use of information. ;Confirm;;;;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";yes;"New monitoring frameworks are added at upgrades of the portal OPSI, the monitoring app Matomo is in the process of upgrade.

As part of access to public information, we are aware that monitoring re-use by public institutions is important for raising quality. Therefore, we encourage individual data providers to monitor and measure reuse. Therefore, some public organizations, such as GURS (Surveying and Mapping Authority), have prepared an agreement on the use of access services in the form of SLA. The use of data has been monitored, systematically since 2005, also for electronic transmission and access services. Application monitoring is performed with the help of business analytics within the BI data warehouse and through web analytics at the portal level. With advanced users who have specific business requirements for the use of services and information in real time, they conclude simple mutual agreements in which mutual relations are defined. The purpose of monitoring the use and concluding agreements is to provide users with an appropriate service and a stable environment according to their needs. All information relevant to users is regularly published on the web portal. A helpdesk is also available to users. ";Confirm;;;;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";yes;For public access to data through the OPSI portal, a central web-analytics system is used, which is used by all bodies that publish data on the OPSI portal. We use Matomo software to measure web-analytics. Access to this system is internal, but we also publish annual report of re-use. Here is link to annual report: https://podatki.gov.si/sites/default/files/reports/poro%C4%8Dilo%202022.pdf;Confirm;;;;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;For public access to data through the OPSI portal, a central web-analytics system is used, which is used by all bodies that publish data on the OPSI portal. We use Matomo software to measure web-analytics.;;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;"A definition is contained in the Strategic Working Plan for Open Data 2022-2023. It states that the Open Data have impacts primarily on 4 main areas: 1) transparency of the work of public institutions (anti-corruption; political impact), 2) innovative digital economy, 3) solving environment related problems (smart cities), 4) efficient functioning and data-driven decisions of the public institutions.
Yes, this definition is still valid.

Link to Strategic Working Plan for Open Data 2022-2023: https://podatki.gov.si/sites/default/files/reports/Odprti%20podatki%20JS%20-%20Strate%C5%A1ki%20delovni%20na%C4%8Drt%202022%202023_0.pdf     ";Confirm;;;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";no;;Confirm;;;;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;"We have established cooperation with several Faculties:
- Faculty of Computer and Information Science, University of Ljubljana
- Faculty of Electrical Engineering (FEE), University of Ljubljana
- Faculty of Electrical Engineering and Computer Science, University of Maribor
- Faculty of Public Administration, University of Ljubljana
-Faculty of Law, University of Ljubljana

Links to FRI collaboration with students.
12. 1. 2021 Predstavitev seminarskih nalog na temo odprtih podatkov s področjih dela državnih organov: https://podatki.gov.si/content/predstavitev-seminarskih-nalog-%C5%A1tudentov-fri                                                                 

Links of cooperation with academia:
- https://podatki.gov.si/content/predstavitev-seminarskih-nalog-%C5%A1tudentov-fri
- https://4pdih.com/opsi-pomoc-delavnica/
- https://ltfe.org/blog/odprti-podatki-slovenije-delavnica-o-uporabi-portala-opsi/
- https://dih.um.si/oglejte-si-posnetek-delavnice-opsi-hub-izkoristimo-moc-odprtih-podatkov/";Confirm;;;;;
;4.2 Measuring reuse;;;;;;;;
