;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;"The definition of open dat re-use can be found in Act No. LXIII. of 2012 on the re-use of public data 4.§ points 8-9. It is also included in the National Open Data Portal's disclaimer, it containes the list of glossary: https://kozadatportal.hu/disclaimers 

Response to Reviewer 2: 

Translated definition of open data reuse: 
8. reuse: the use of public data or public cultural data for a commercial or non-commercial purpose that is outside the original goal for which the data were produced, as defined by the law imposing the performance of the public task within the framework of the performance of the public task;
9. making available for reuse purposes: providing access to the requester for public data or cultural public data that allows the requested data to be reused by the requester, including, in particular, the one-time or periodic transfer of data on data carriers or electronically, providing direct access to the database containing the data, and any other access method that does not conflict with any other legislation, as agreed upon by the public sector body and the requester in the reuse agreement;
";Complement;;"The definition of open data re-use can be found in Artile 2, point 35 of the Act CI of 2023 on the System for Utilisatioln of National Data Assets and Certain Services. 
The translated definition of open data re-use is the following:
35. re-use: related to national data asset
 (a) in case of protected data, re-use as defined in point 2 of Article 2 of the Data Governance Act,
b) the use of public data or cultural public data for commercial or non-commercial purposes that fall outside the original objective arising from the legislation prescribing the performance of the public task within which the data was produced;
https://njt.hu/jogszabaly/2023-101-00-00.0#PR";;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";yes;"After the National Data Asset Management Agency has been established, one of the main purposes of the Agency is to promote and facilitate the re-use of open data. In doing so, the Agency leads the development of Hungary's National Open Data Portal, where the number of views and downloads on the portal and analytics data shows the level of re-use of the country's open data.
The XCI Act of 2021 on National Data Asset (National Data Asset Act) and its implementing decree, the Government Decree 607/2021 (XI. 5.) on certain detailed rules related to the use of national data assets define the data analysis, data provision and information service tasks of the National Data Asset Management Agency. To perform these tasks, the National Data Asset Management Agency Limited Liability Company was established, which is responsible for the development and implementation of the general principles of national data asset management, the operation of the National Public Data Portal, the creation and maintenance of the public data register and the inventory of national data asset, while contributing to the fulfilment of the requirements under Act LXII of 2012 on the re-use of public data (Public Data Act).
URL: https://net.jogtar.hu/jogszabaly?docid=a2100091.tv
https://net.jogtar.hu/jogszabaly?docid=A2100607.KOR
https://net.jogtar.hu/jogszabaly?docid=a1200063.tv
https://kozadatportal.hu/dataset/";Complement;;"Following the creation of the National Data Asset Management Agency, one of the main objectives of the Agency is to promote and facilitate the re-use of open data. In doing so, the Agency is leading the development of Hungary's National Open Data Portal, where the number of views and downloads on the portal and analytics data shows the level of re-use of the country's open data.
From 1 July 2021, the data analysis, data provision and information provision tasks of the Agency were defined by Act XCI of 2021 on National Data Assets (National Data Assets Act) and its implementing decree, Government Decree 607/2021 (XI. 5.) on certain detailed rules related to the use of national data assets. However, this regulation was substantially amended in 2023 due to the entry into force of the European Union Data Governance Regulation (Regulation (EU) 2022/868). At the end of last year, the Hungarian Parliament adopted the Act CI of 2023 on the System for Utilisation of National Data Assets and Certain Services. The law designated the Agency as the Single Information Point and Competent Body.
The CI Act of 2023 will enter into force gradually, but already on 1 January 2023 it incorporated the Hungarian Act LXIII of 2012 on the re-use of public data, which transposed the previous EU PSI Directive (now the Open Data Directive). The new Act partly strengthened the tasks of the Agency and partly gave it new tasks, while it remains responsible for the development and implementation of the general principles of national data management, the operation of the National Open Data Portal, the establishment and maintenance of the Public Data Register and the National Data Asset Inventory, and contributes to the fulfilment of the corresponding requirements.
https://njt.hu/jogszabaly/2023-101-00-00.0#PR
https://kozadatportal.hu/dataset/";;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";yes;"The partners of National Data Asset Management Agency with a cooperation agreement are obliged to do so. Futhermore based on the Act No. XCI. of 2021 on the National Data Asset along with the National Open Data Portal we are planning to develop data management awareness, and after that there will be more detailed directions for it.
URL: https://net.jogtar.hu/jogszabaly?docid=a2100091.tv
https://kozadatportal.hu/";Complement;;"Partners of the National Data Asset Management Agency with a cooperation agreement are obliged to do so. In addition, under the Act CI of 2023 on the System of Utilisation of National Data Assets and Certain Services, we plan to work with the National Open Data Portal to develop data management awareness, and more detailed guidance will follow.
It is worth noting that Article 15 of the CI Act 2023 requires all public bodies with 250 or more employees to have a Chief Data Officer (CDO) from 1 July 2024. While for smaller bodies, the appointment of officers who must provide, inter alia, professional coordination and methodological support to the Agency. It is in the framework of this coordination and methodological activity that the Agency can support public bodies to monitor the further use of their data. 
https://njt.hu/jogszabaly/2023-101-00-00.0#PR
https://kozadatportal.hu/";;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"Governmental bodies can monitor the availability of further use of high-value datasets primarily through the National Open Data Portal, for which the provision of metadata is made mandatory for all public bodies by Act CI of 2023. The National Data Asset Management Agency also provides a single information point and contact service on the National Open Data Portal, where requests for the re-use of high-value data sets can be submitted. From 2026 onwards, the Agency will also be able to provide its own high value datasets of public sector bodies through the National Data Platform service. Finally, the Agenxy may provide a number of data use support services, as defined in the new law, which require the re-use of some or all of the high-value data sets. All these services allow the level of actual re-use to be measured. (See  Article 68 of the CI Act 2023.)
https://njt.hu/jogszabaly/2023-101-00-00.0#PR";;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;"The Chapter 3.1.2 of the White Paper on the National Data Policy of Hungary summerizes the social and economical advantage, impact and importance of open data. 
URL: https://www.magyary.hu/wp-content/uploads/2019/09/Adatpolitikai_feher_konyv_201608-1_EN_20161121.pdf
There is no exact definition of the impact of open data, but the document contains a list and examples about the impact, such as: 

""The accessibility to public sector data and the services re-using public sector data have a significant impact of improving competitiveness, attracting capital as well as leverage leading to increasing employment and tax income.""

""Removing the barriers of re-use gives a boost to a new sector - the data sector - that increases employment and produces tax income.""

""Re-use services satisfy important social needs what increases social welfare""";Confirm;;;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";no;;Change;Yes;In the framework of an EU project (See: RRF-9.6.1-21-2023-00001 project, https://navu.hu/europai-unios-palyazatok), the National Data Asset Management Agency, in cooperation with the University of Debrecen, started to conduct 30 ex ante and 40 ex post impact assessments in 2023, for which it prepared its own methodology. The majority of the analyses are based on open access data. The methodology can also be used to analyse the impacts of open access.;;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;"The National Data Asset Management Agency has established official partnership with the National University of Public Service in the field of network research capabilities in the public administation.

The Career Tracking System also serves as a good exemple for collaboration between government and academia to create open data impact. 
https://www.diplomantul.hu/

At the Infotér13 Conference in 2022 there were lots of governmental and civil organization, companies as participants.  This may be the biggest collaborating event between government and civil actors. The highlighted themes were:  Data & artificial intelligence, Digitization of the economy, E-public administration, Network development, IT security, Digital agriculture, National space strategy. https://konferencia.infoter.eu/";Complement;;"The National Data Asset Management Agency has entered into a formal partnership with the National University of Public Service in the area of public administration network research capabilities. As part of this, training of around 200 government officials will start in the second half of 2024 under an EU project (See project RRF-9.6.1-21-2023-00001, https://navu.hu/europai-unios-palyazatok).

In addition, NAVÜ will work closely with the University of Debrecen, where a team of nearly 10 PhD students will help to carry out ex-post impact analyses on important social and economic, digitalisation and environmental sustainability issues. Information on 70 of these analyses will be published in the first half of 2025 on the National Open Data Portal operated by the Agency in the framework of the RRF project mentioned above.

The National Education Office's career tracking system is also a good example of collaboration between government and higher education to create the impact of open data.
https://www.diplomantul.hu/";;;
