;Dimension 3: Open Data Quality;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
;3.1 Currency and completeness;;;;;
Q1;"Is there a pre-defined approach to ensure that metadata is kept up-to-date?

For Explanation:
* If yes, please briefly describe your approach.";yes;The data publishers chooses the frequency of the metadata update, upon the publishing process, which enables the publisher and the user to follow the update schedule. ;Confirm;;
Q2;"What percentage of the metadata on the national portal is obtained from the source automatically, rather than edited manually? 

For Explanation:
* Please describe (1) the workflows you have to automate the harvesting of metadata and (2) for which types of data these apply to";new question;new question;Change;30-49%;Around 40%, For big data publishers (e.g. Republic Geodata Authority, National Statistics Office, Serbian Environmental Protection Agency...), we create tailor made harvesters.
Q3;"What is the average delay from the moment the metadata describing a dataset is updated at the source, and the moment the change is visible on the portal?

For Explanation:
* Please explain the approach for updating metadata in a timely manner";new question;new question;Change;Within one day;The change is visible within the one day, picked up by harvester.
Q4;"Do you undertake efforts to ensure that published data covers the full period from when it was first published until today, for example,the complete time series?

For Explanation:
* If yes, please explain the measures in place to ensure complete series of datasets";new question;new question;Change;Yes;Office for IT and eGovernment strongly advices data holders not to replace datasets with new, but instead to keep historical data available. The majority does. The Open Data Portal Editor monitors activities on the Open Data Portal, and keeps open communication with open data publishers, advising them to publish data which covers full periods. 
Q5;"Have you implemented the DCAT-AP High Value Datasets (semiceu.github.io) tag to denote the High-Value Datasets in your (national) open data portal(s)?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Not Applicable;Not Applicable
Q6;"Besides the DCAT-AP tag mentioned above, have you implemented any other measures to ensure that high-value datasets ((EU) 2023/138) are interoperable with datasets of other country?

For Explanation:
* If yes, please specify how and highlight challenges if any.
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Not Applicable;Not Applicable
;3.2 Monitoring and measures;;;;;
Q7;"Do you monitor the quality of the metadata available on your portal?

For Explanation:
* If yes, please briefly explain how this monitoring takes place. 
* If applicable, please provide the URL to this monitoring mechanism.";yes;Monitoring is done by two dashboards. Dashboard for the local level datasets: https://app.powerbi.com/view?r=eyJrIjoiMzIzZGRmMTUtYWNmYi00ODFiLTlkNzktZGY3ZjllZjA0YjIyIiwidCI6ImU5ODY5ZDllLTVmMTYtNDE1Ni04OWIwLWQ1MTYzMGZmNzAwMCIsImMiOjl9&embedImagePlaceholder=true&pageName=ReportSection4f901c371aea6dfeb859, Dashboard for the all datasets: https://app.powerbi.com/view?r=eyJrIjoiYTkyOGFkMWItNTZhYS00ODQ5LTljNTEtZmE2M2FlZThmZjIzIiwidCI6ImU5ODY5ZDllLTVmMTYtNDE1Ni04OWIwLWQ1MTYzMGZmNzAwMCIsImMiOjl9&embedImagePlaceholder=true&pageName=ReportSection These dashboards include monitoring of the metadata quality.;Confirm;;
Q8;"Do you publish information on the quality of the metadata available on the portal?

For Explanation:
* If yes, please provide the URL to this section. ";no;;Confirm;;
Q9;"Do you publish guidelines (e.g. written materials) and have tools in place, to assist publishers in publishing high-quality metadata? 

For Explanation:
* If yes, please (1) briefly describe this material and (2) provide the URLs to these materials and/or tools.";new question;new question;Change;Yes;We've published Open Data Guide in 2019, with development of new Open Data Guide for data holders scheduled for this year. Also, we have published Standards of quality for data and reuse cases. URL: https://data.gov.rs/_themes/govrs/doc/Standardi_kvaliteta_setova_podataka.pdf Additonaly, guide on licencing is available on the National Open Data Portal. https://data.gov.rs/sr/terms/, https://data.gov.rs/_themes/govrs/doc/vodic-kroz-otvorene-podatke_cirilica.pdf
Q10;"Do you set any standards on metadata quality that data providers must abide by (e.g. on the use of licence, minimum metadata describes, use of certain DCAT-AP properties, etc)

For Explanation:
* If yes, please describe the standards you have in place, i.e. what is minimum information the metadata should describe ";new question;new question;Change;Yes;All datasets must respect the national licence desribed in here and in the Law on eGovernment: https://data.gov.rs/sr/terms/ Additionaly, there is a Regulation on Geodata metadata: https://tmp.geosrbija.rs/mdocs-posts/uredba_o_sprovedbenim_pravilima_za_metapodatke_nigpa_54_19-objedinjeno/
Q11;"Do your open data publication/licensing guidelines provide recommendations for the use of Creative Commons (CC) licences, specifically CC BY 4.0 and CC0?

For Explanation:
* If yes, is this mandatory (e.g. prescribed by law) or recommended?
* Please provide a URL link to the guidelines";new question;new question;Change;Yes;Serbia licence is based on CC licence, and it is described in the Law on eGovernment, and the separate page of the National Open Data Portal: https://data.gov.rs/sr/terms/
Q12;What percentage of the open data available on the national portal is accompanied by licensing information? ;>90%;N/A;Confirm;;N/A
Q13;How many different licences are used on your portal?;1-4;N/A;Confirm;;N/A
Q14;"Besides providing guidelines, are there regular activities conducted or mechanisms in place to  assist publishers in supplying high-quality datasets (metadata quality and data quality)?

For Explanation:
* If yes, please explain the support you provide?";new question;new question;Change;Yes;Office for IT and eGovernment gives advise and support to data publishers to publish high-qualtiy metadata via tailor made support, trainings, meetings and similar. 
;3.3 DCAT-AP Compliance;;;;;
Q15;"Does the national portal follow the DCAT-AP framework or, if not, are standards in place to ensure interoperability with DCAT-AP?

For explanation:
* If the  portal follow the DCAT-AP framework, please describe how compliance with DCAT-AP is ensured
* If the portal does not follow the DCAT-AP framework, please describe how interoperability with DCAT-AP is ensured";new question;new question;Change;Yes;Compliance is ensured since the Serbian Open Data Portal uses uData platform developed by the French open data team.  Documentation is in here: https://udata.readthedocs.io/en/stable/rdf/
Q16;What is the percentage of metadata on your portal that is DCAT-AP compliant, in terms of mandatory classes? (agent, catalogue, dataset, literal, resource);>90%;;Confirm;;N/A
Q17;What is the percentage of metadata on your portal that uses DCAT-AP recommended classes? (category, category scheme, distribution, licence document);71-90%;;Confirm;;N/A
Q18;What is the percentage of metadata on your portal that uses DCAT-AP optional classes? (catalogue record, checksum, document, frequency);71-90%;;Confirm;;N/A
Q19;"Is there a national extension of the DCAT-AP standard developed for your country? 

For Explanation:
* If yes, please (1) briefly outline the reasons for this decision, and (2) what the main differences between the national variation and the EU standard are.
* If applicable, please provide the URL to the documentation of the national DCAT-AP extension.";no ;;Confirm;;
Q20;"Do you investigate the most common causes for the lack of DCAT-AP compliance?

For Explanation:
* If yes, what are the main causes for the lack of DCAT-AP compliance?";new question;new question;Change;Yes;The main cause is the fact that many datasets which are not harvested, are entered mannualy, hence the quality depends on the users. 
Q21;What is the percentage of datasets whose metadata provides a reference to where the data can be downloaded, or its API accessed (“download-URL” in the DCAT-AP specification)?;>90%;N/A;Confirm;;N/A
Q22;What is the percentage of datasets whose metadata provides a reference to a web page from where the data can be accessed (“access-URL in the DCAT-AP specification)?;0%;N/A;Change;>90%;N/A
;3.4 Deployment quality and linked data;;;;;
Q23;"Do you use a model (such as the 5-Star Open Data or FAIR) to assess the quality of deployment of data in your country?

For Explanation:
* If yes, please briefly describe.";no ;;Change;Yes;Each dataset comes with a discussion module where users can share their opinions, whether positive or negative. This module also allows users to report any anomalies or suggest areas for improvement to the dataset producer. Consequently, this evaluation system offers more detailed feedback than a simple five-star rating, which fails to provide insights into potential improvements. See example: https://data.gov.rs/sr/datasets/adresni-registar/ uData limits which functions can be added to the Portal, thus for now only qualitative feedback is possible.
Q24;"Do you conduct activities to promote and familiarise data providers with ways to ensure higher quality data?

For Explanation:
* If yes, please briefly describe.";yes;Standards for quality are promoted, especially in cases of highly standardized data (e.g. local expenditure plans). For example, when standard for local budgets was developed, it was sent to all local self-governments in order to use it in case of open data release of their local budget. Also, on trainings, 1 on 1 consultations, open data team always recommends standards recognized in the world, like GTFS for public transport open data, OCDS for public procurement open data, etc. Additionaly, accent is always put on accuracy, consistency, timeliness, completeness and credibility, rather than just quantity. ;Confirm;;
Q25;What percentage of datasets are made available under an open licence? ;>90%;N/A;Confirm;;N/A
Q26;What percentage of licences are provided in a structured data format?;>90%;N/A;Confirm;;N/A
Q27;What percentage of datasets are provided in an open and machine-readable format?;>90%;N/A;Confirm;;N/A
Q28;What percentage of datasets consistely use Uniform Resource Identifiers?;31-50%;N/A;Confirm;;N/A
Q29;What percentage of datasets link to other renowned sources to provide additional context for the users, e.g. in a linked data fashion?;<10%;N/A;Confirm;;N/A
