;Dimension 2: Open Data Portal ;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
;2.1 Portal features;;;;;
PT1;"Is there a national portal in your country for that enables users to search for open datasets and find where to download open data? 

For Explanation:
* If yes, please provide the URL of the national portal.";yes;https://data.gov.lt/?lang=en;Confirm;;
PT2;"For Explanation:
* What is the technology stack of your portal (e.g. based on uData, CKAN, etc.)";new question;new question;Change;A self-developed solution on the Python platform;A self-developed solution on the Python platform
PT3;"Does the national portal offer to its users a way to programmatically query the metadata via an API?

For Explanation:
* If yes, please provide the direct-URL to this feature.";new question;new question;Change;Yes;API is documented here https://old.data.gov.lt/public/api/1
PT4;"Does the national portal offer to its users a way to programmatically query the metadata via a SPARQL access point?

For Explanation:
* If yes, please provide the direct-URL to this feature.";new question;new question;Change;Yes;SPARQL access point can accessed here https://data.gov.lt/sparql/
PT5;"Does the national portal offer/link to documentation on the use of APIs?

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";new question;new question;Change;Yes;API documentation can be found here: https://atviriduomenys.readthedocs.io/search.html?q=API&check_keywords=yes&area=default
PT6;"Does the national portal offer/link to documentation on the use of SPARQL? 

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";new question;new question;Change;Yes;"""Instead of the SPARQL access point, the REST JSON access point is implemented, which is the most demanded among
Data users, in addition, it is possible to export data in RDF-XML format, which
converted to TripleStore with SPARQL (implemented JSON API instead of SPARQL, conforming to UDTS
API specification. However, it is possible to export data in RDF format, import it into Triple
store that supports SPARQL).  Documentation https://atviriduomenys.readthedocs.io/savokos.html?highlight=REST%20JSON#term-REST-API"""
PT7;"Does the national portal provide functionality for users to contribute datasets they have produced or enriched? 

For explanation:
* If yes, please (1) explain how  the portal facilitate the linking of documentation and supporting materials to these user-contributed datasets and (2) provide the direct-URL to this feature.  ";new question;new question;Change;Yes;"Users can register as data provider following this link https://data.gov.lt/login/?next=/. After that they able to conribute their datasets or enrich contributed before ones. 
An example of a request made to complement an already published dataset https://data.gov.lt/requests/14327/, and here is a dataset which fulfilled that request https://data.gov.lt/datasets/2121/"
PT8;"Does the national portal offer a mechanism for users to provide general feedback, such  a 'Contact us' or 'Feedback' button that is placed in a visible spot and would allows users to send a general comment concerning the portal?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";yes;"In front page of the portal on the top there is ""Request and suggestions"" tag. https://data.gov.lt/
Additionally  data users can put a comment to any particular data set, to register data request.
https://data.gov.lt/dataset/2014-2020-metu-europos-sajungos-fondu-investicijos; Or send message by email from first page ""Contact us""
https://data.gov.lt/page/contacts";Change;Yes;"In front page of the portal on the top there is ""Requests and suggestions"" tag. https://data.gov.lt/requests/add/
Additionally  data users can put a comment to any particular data set, to register data request, for example,
https://data.gov.lt/datasets/2159/.  Finally, a message can be sent by email using ""Contact us"" option, which can be found in the title page of the portal opening drop down menu option ""More""
https://data.gov.lt/more/contacts/"
PT9;"Does the national portal offer a mechanism for users to provide feedback on specific datasets, such as a 'feedback button' or a comment/discussion section under the dataset?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";yes;"Each metadata page has Comment field.
The examples: https://data.gov.lt/dataset/valstybes-islaidu-biudzetas?lang=en
https://data.gov.lt/dataset/isrinkti-politikai";Change;Yes;"Each metadata page includes a comment field at the bottom, for instance, https://data.gov.lt/datasets/1484/. Feedback can also be provided in several other places, such as:

On the data structure page, which lists models: https://data.gov.lt/datasets/1484/
Within a specific model itself: https://data.gov.lt/datasets/1484/models/JuridinisAsmuo/
For individual fields within the data structure.
Whenever a comment is submitted, a task is automatically created for the institution's open data coordinator or data manager."
PT10;"Does the national portal provide a mechanism for users to rate datasets?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";yes;An example: https://data.gov.lt/dataset/juridiniu-asmenu-vardu-lietuvoje-iregistruotu-keliu-transporto-priemoniu-duomenys?lang=en;Change;Yes;"There is an option to rate a dataset by clicking ""Like/Dislike"" button in any dataset's metadata page. An example: https://data.gov.lt/datasets/1212/"
PT11;"Does the national portal enable users to find information and news on relevant open data topics in the country?

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";yes;https://data.gov.lt/news;Change;Yes;News section can be accessed here https://data.gov.lt/blog/
PT12;"Does the national portal offer the possibility for users to receive notifications when new datasets are available on the national portal (RSS, ATOM feeds, email notifications etc.)?

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";yes;"Users can subscribe to data set update notifications. 
An example https://data.gov.lt/dataset/juridiniu-asmenu-vardu-lietuvoje-iregistruotu-keliu-transporto-priemoniu-duomenys";Change;Yes;"Users can subscribe to be informed on any dataset and receive notifications afterwards 
An example https://data.gov.lt/datasets/1212/"
PT13;"Does the national portal enable users to request datasets, such as through a ""request data"" button? 

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";yes;https://data.gov.lt/requests/request;Change;Yes;"On the left-hand side of the page, user will find a button labeled ""Create a request."" Clicking on this button will directly take the user to the request form at https://data.gov.lt/requests/add/. This form serves multiple purposes, allowing users to request a new dataset, make a request regarding an existing dataset, or report any errors found within a dataset."
PT14;"Are requests for datasets and their progress status presented in a transparent manner on the national portal? 

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";yes;https://data.gov.lt/requests/submitted;Change;Yes;"User can access the ""Requests and Suggestions"" page through the main menu located at the top of the page. On this page, user willll find a comprehensive list of all requests submitted, with options to filter them by status, organization, date, and more. User can visit the page directly at https://data.gov.lt/requests/submitted/.
Also, the request can be made in different sections of the portal but mostly this option appears close to the comment box, e.g. in dataset's metadata page https://data.gov.lt/datasets/1484/#info 
data structure's model page https://data.gov.lt/datasets/1484/models/JuridinisAsmuo/, etc."
PT15;"Does the team monitor the extent to which requests (either via the portal or otherwise) result in the publication of the requested data?

For Explanation:
* If yes, please describe how this monitoring is conducted.";yes;Inquiries are registered on the portal and directed to the organization. If no organization is specified, the request is routed to the coordinator. The Chief Coordinator is responsible for resdirecting to specific data provider.;Complement;;There is a deadline for responding to the request. If the response is not provided by that date, the issue is escalated to the institution's coordinator. If the coordinator does not respond, it is further escalated to the Ministry level.
PT16;"Does the national portal offer a mechanism for users to exchange with others, such as a discussion forum?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";yes;"This Portal site (https://data.gov.lt/news/11) provides with references to ""Open data"" disscussion group registration form https://docs.google.com/forms/d/e/1FAIpQLSdhN96KdzhwGszzTc2E3Ubc_JgscrctmbUE_OHA--7U7C_hbQ/viewform;
The user can comment on the dataset and other users can express their different views, also.";Change;Yes;"This Portal site (https://data.gov.lt/blog/2021/04/13/kvieciame-prisijungti-prie-atviru-duomenu-entuziastu-grupes/) provides with references to ""Open data"" disscussion group registration form https://docs.google.com/forms/d/e/1FAIpQLSdhN96KdzhwGszzTc2E3Ubc_JgscrctmbUE_OHA--7U7C_hbQ/viewform;
The user can comment on the dataset and other users can express their different views, also."
PT17;"Does the national portal showcase reuse cases, such as in a designated section of the portal?

For Explanation:
* If yes, please provide the direct-URL to this feature. ";yes;https://data.gov.lt/usecases/examples;Change;Yes;It can be accessed here https://data.gov.lt/projects/
PT18;"Does the national portal reference the datasets that the showcased reuse cases are based on (i.e. there is a link between the reuse case in the showcase and the underlying dataset on the portal)?

For Explanation:
* If yes, please provide the URL to this feature/to an example documenting this feature.";yes;https://data.gov.lt/usecases/examples;Change;Yes;By describing showcases there is a possibility to link used open data. https://data.gov.lt/projects/
PT19;"Does the national portal provide the possibility for users to submit their own reuse cases?

For Explanation:
* If yes, please provide the direct-URL to this feature. ";yes;"https://data.gov.lt/usecases/examples
https://github.com/tomasrasymas/Lithuania-legal-entities-dataset";Change;Yes;"It can be done here https://data.gov.lt/projects/ by pressing ""Submit a new use case"" button"
PT20;"Does the national portal offer a preview function for tabular data?

For Explanation:
* If yes, please provide the URL to an example documenting this feature.";yes;https://data.gov.lt/usecases/examples;Change;Yes;"When a dataset is created, the institution must prepare a data structure to ensure communication with the data storage. The data structure acts as an instruction to retrieve the data from storage and display it as tabular data on the portal. The tabular data can be found under the ""Data"" tab. For example: https://data.gov.lt/datasets/1891/data/Punktas/.

Additionally, there is an option to preview geographic data. This can be done by going to the ""Structure"" tab of the dataset, selecting a model, and then choosing a field intended to show coordinates. This will display a map with a marker placed according to the coordinates. For example: https://data.gov.lt/datasets/1891/models/Punktas/koord/."
PT21;"Does the national portal offer a preview function for geospatial data?

For Explanation:
* If yes, please provide the URL to an example documenting this feature.";yes;"Spatial data metadata is provided from the primary geoportal, which contains a spatial preview:
https://www.geoportal.lt/metadata-catalog/catalog/search/resource/details.page?uuid={E8FFE336-ABE2-4950-BD49-D8B2501C4B8A}
„RESPONSE TO REVIEWER“: From LT domain  this link is OK. Probably access caused by network restictions.";Change;Yes;"There is an option to preview geographic data. This can be done by going to the ""Structure"" tab of the dataset, selecting a model, and then choosing a field intended to show coordinates. This will display a map with a marker placed according to the coordinates. For example: https://data.gov.lt/datasets/1891/models/Punktas/koord/."
PT22;"Do you promote high-value datastes on your national portal (e.g. use filtering features for reusers to easily find such datasets, use editorial features to promote the datasets, etc.))?

For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"Following this link https://data.gov.lt/datasets/ on the left hand side of the page there is a filter to choose ""High value datasets"" under ""Group"" filter.
The user can also choose according to high-value thematic categories."
;2.2 Portal usage;;;;;
PT23;"Do you monitor the portal's traffic (e.g. in terms of number of unique visitors, visitor profiles, percentage of machine traffic, number of downloads according to the number of datasets etc.)? 

For Explanation:
* If yes, which tool(s) do you use?";yes;"Google Analytics; Internal portal statistics data https://data.gov.lt/reports/53; 
Portal data usage statistics are summarized in the annual review https://data.gov.lt/file/e5143acd-1324-43fd-bf37-47896cda263f ";Change;Yes;"Statistics with various different parameters can be set and viewed here https://data.gov.lt/datasets/ by clicking on any of the filters heading with the graph icon in front of it. That leads to statistics page, e.g. https://data.gov.lt/dataset/stats/jurisdiction/?

Additionally, each dataset tracks views, providing a fundamental understanding of its usage.

Furthermore, instructions of how to find information about access loogging can be found here: https://spinta.readthedocs.io/en/latest/manual/accesslog.html

Fianlly, we use Google analytics to gather information about the portal's traffic."
PT24;"Do you run analytics on API usage?

For Explanation:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal";yes;N/A;Change;Yes;Indeed, we gather data regarding API usage, including statistics on dataset views and downloads via API.
PT25;"Besides monitoring portal traffic, do you perform any further activities to better understand the behaviour and needs of users of your portal (e.g. web analytics, surveys, or analysis of social media feeds)?

For Explanation:
* If yes, please (1) specify the activities and explain (2) how they help you understand user needs";yes;"We disseminate information on social networks 
(Facebook - https://www.facebook.com/IVPKomitetas/posts/pfbid02dZZRrYbifQvQjkjXftVGLUXGZX21vwjvRF96J165B4WFo3wBho6Tx5WhTKmyEfAFl
Linkedin - https://www.linkedin.com/feed/update/urn:li:activity:7054693483554443264) about open data sets and monitor the response of respondents.
 We also analyze user comments and evaluations submitted on the portal, expressing the needs of open data, and monitor how institutions take them into account.";Confirm;;
PT26;"Do you used the insights about portal usage and about the behaviour and needs of portal users to improve the portal accordingly?

For Explanation:
* If yes, please explain your process for improving the portal based on user insights and feedback
* If relevant, kindly highlight some improvements made in the past year";new question;new question;Change;Yes;"We greatly value feedback received from various channels, be it through social media platforms or direct contact, as it plays a pivotal role in the ongoing enhancement of the portal. Our focus on continuous improvement entails several key developments:

- Enhancing the user interface to ensure a more intuitive experience within the portal.
- Strengthening API tools to offer improved functionality and accessibility.
- Implementing enhanced task management features tailored to the needs of institution coordinators.
- Refining the management system for handling requests and suggestions, among other improvements.

We utilize the Github platform to log portal errors and potential enhancements, employing a method akin to incident ticketing. https://github.com/orgs/atviriduomenys/projects/9/views/1"
PT27;"Do you undertake any activities to promote the portal and attract new users or new audiences?

For explanation:
* If yes, please (1) explain what activities your perform, and (2) mention if these activities are directed at any specific target audience (e.g. business, public sector, academia, etc.)";new question;new question;Change;Yes;"The promotion of the open data portal extends across multiple platforms, including the portal itself, LinkedIn, Facebook, the organization's official website (https://ivpk.lrv.lt/en/), YouTube, and through live events. For instance, during the event ""Open Data Opportunities - See the Invisible,"" various topics were discussed, such as the current state of open data in Lithuania, opportunities offered by the Open Data Portal, the significance of open data in advancing artificial intelligence and other innovations, and insights from market experts regarding data utilization in sectors like health and space.

Furthermore, the introduction of new datasets is highlighted through social media channels like LinkedIn and Facebook. The target audience for these promotional efforts is diverse and may encompass business entities, governmental organizations, academic institutions, individual users, and more."
PT28;"Do you monitor what keywords are used to search for data and content on the portal?

For Explanation:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal";new question;new question;Change;Yes;"One of the filters accessible on the portal is labeled ""Tag."" Moreover, on the dashboard page, ""Tag"" can be utilized to monitor data.https://data.gov.lt/datasets/stats/status/?"
PT29;"Do you monitor the most and least consulted pages?

For Explanation:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal
* For informational purposes, kindly provide the URLs to the five most popular datasets on the portal";new question;new question;Change;Yes;We have an internal usage statistics report, so we can only answer this question after preparing this report.
PT30;"Do you take measures to optimise the search and discoverability of content (data and editorial)? 

For Explanation:
*If yes, please briefly describe how your optimise the search";yes;We evaluate how many steps it takes to find the desired set, which filters are the most convenient to use. The number of findeablity improvemnts are planned to make interface more user friendly to search and edit data sets. For example, the new version that we will introduce in 2023 uses a multi-level hierarchy of activity categories;Change;Yes;We assess the efficiency of locating the desired dataset by measuring the number of steps required and identifying the most user-friendly filters. Additionally, we've introduced several new filters to enable data users to refine their search criteria more effectively. In the previous version of the portal, there were separate environments for previewing and editing datasets. However, in the updated version, all tasks can be performed within a single environment, streamlining the process for data users and enhancing the portal's user-friendliness.
PT31;"Is the metadata on your portal available in clear plain language to enable both humans and machines to read and understand it? 

For Explanation:
*If yes, please provide the URL to an example documenting this feature.";yes;;Complement;;"
The user interface is designed to be intuitive and user-friendly, ensuring that users can easily navigate and interact with the system without confusion or difficulty. This approach helps to enhance user engagement and satisfaction by minimizing the learning curve and making the functionality accessible to everyone, regardless of their technical expertise. 

Also, most data on the portal is available in machine readable format as well as through API."
;2.3 Data provision;;;;;
PT32;"To what degree do public sector data providers contribute data to the portal? 

For Explanation:
*Please describe what is the agreed approach.
* If less than the majority of data providers, please briefly explain why (e.g. technical incompatibilities, governance aspects, low awareness etc.).";the majority of public sector data providers;All public sector organizations are obligated to register their open data metadata in the Portal. Currently, 142 Central Public Institutions and Municipalities contribute data sets to the Portal. By the end of the ongoing project all major centrally managed public data sets is going to be opened. ;Change;The majority of public sector data providers;Most public sector data managers at the national level are involved in making data open. It's noteworthy that the data from the majority of the country's key information systems and registries are managed using technologically advanced methods.
PT33;Do you identify the data providers that are not yet publishing data on the national portal?;yes, or all public sector data providers already publish data;N/A;Confirm;;N/A
PT34;"Were there concrete actions taken to assist these data providers with their publication process?

For Explanation:
* If yes, could you provide some examples of the actions taken in this regard.";yes, or all public sector data providers already publish data;"For example, the open data portal of Vilnius municipality is not yet integrated into the national portal https://opendata.vilnius.lt/dataset/;
After negotiations with the representatives of the Vilnius portal, we agreed to implement the changes ensuring integration.";Change;No;
PT35;"Besides the national open data portal, are there other regional and local portals? 

For Explanation:
* If yes, please provide a complete list and the links to these portals.";yes;"https://www.geoportal.lt/geoportal/
https://lietuvosfinansai.lt/en/lithuanian-finance-2/
https://open-data-ls-osp-sdg.hub.arcgis.com/search?collection=Dataset
https://vilnius.lt/smart_city_projects/atviri-duomenys/
https://atviri.siauliai.lt/";Confirm;;
PT36;"Are regional and local portals listed above and their data sources discoverable via the national portal? 

For Explanation:
* If not applicable, please briefly explain why. ";yes;;Change;Yes;"Regional and local portals that are discoverable via the national portal:
https://www.geoportal.lt/geoportal/
https://lietuvosfinansai.lt/en/lithuanian-finance-2/
Other not yet, however, we are currently implementing an ADP extension that enables the integration of external data catalogues."
PT37;"To what degree are  regional and local sources harvested automatically? 

For Explanation:
* If less than the majority of existing sources is harvested by the national portal, please briefly explain why.                        
* If not applicable, please briefly explain why. ";all datasets;;Change;All datasets;Following the implementation described above, open data will be automatically integrated from external sources.
PT38;"Does the national portal include datasets that are real-time or dynamic?

For Explanation:
* If yes, please provide URLs to real-time and/or dynamic data featured via the national portal. ";yes;„RESPONSE TO REVIEWER“:  Road's traffic and weather conditions data https://eismoinfo.lt/#!/ (posted on local infrastructure), which data are accessible searchable and downloadable  from the national data portal metadata catalog https://data.gov.lt/dataset/transporto-priemoniu-eismo-duomenys , in which there is source URL https://eismoinfo.lt/traffic-intensity-service. Data are updated dinamically as registered in primary DB. Those data are presented for citizens in user friendly application, also  https://eismoinfo.lt/#!/;Confirm;;
PT39;"Does the national portal provide a way for non-official data (i.e. not stemming from official sources, such as community-sourced/citizen-generated data) to be published? 

For Explanation:
* If yes, please explain how non-official data is distiguished for offical data (e.g. using a different section of the portal or tags) 
* And please provide a URL to an example of a non-official dataset on the portal ";new question;new question;Change;Yes;Any subject is able to provide their data to ADP
PT40;"Does the national portal allow users to see what data exists but cannot be made available as open data?

For Explanation:
* If yes, please (1) provide the URL to an example and (2) briefly describe the approach used to ensure this transparency.";no;;Confirm;;
;2.4 Portal sustainability;;;;;
PT41;"Does the national portal have a strategy to ensure its sustainability?

For Explanation:
* If yes, please (1) provide the URL to this document and (2) describe the main measures to keep the portal running in the long-term and continue to serve its audience";new question;new question;Change;Yes;"The sustainability of the National portal is secured through the ""Order on the approval of the documents implementing the electronic information security policy of the Lithuanian open data portal,"" available at https://e-seimas.lrs.lt/rs/legalact/TAD/d3deda70baf711ee9269b566387cfecb/. Specifically, the document includes a section titled ""The open data portal of Lithuania business continuity management plan,"" which details essential measures to ensure the portal remains operational and functional."
PT42;"Is your national portal active on social media? 

For Explanation:
* If yes, please provide the URL(s) to your social media accounts. ";yes;"National portal does not have it's own social media account, communication about national portal and open data content is published on national coordinator social media accounts:
https://www.facebook.com/IVPKomitetas
https://www.linkedin.com/company/information-society-development-committee-under-the-government-of-the-republic-of-lithuania/";Confirm;;
PT43;"Are the portal’s source code and relevant documentation and artefacts made available to the public (e.g. on platforms such as GitHub or GitLab)?

For Explanation:
*If yes, please provide the (1) platform name and (2) the URL to the portal’s account on this platform.  ";yes;The portal code is available to registered users in the GitLab environment. Homemade solution SPINTA for automative describtion, extraction and publishing data (DEP Framework) is published https://gitlab.com/atviriduomenys/spinta/. User documentation is publicly available on the portal https://data.gov.lt/opening/learningmaterial;Confirm;;
PT44;"Do you monitor the characteristics of the data published on the portal, such as the distribution across categories, static vs. real-time data and how these change over time?

For Explanation:
* If yes, please provide the direct-URL to this feature";yes;"The portal contains reports that provide statistics on datasets and their use by thematic category. The amount of open datasets is visible in the category filter https://data.gov.lt/datasets?lang=en 
In the modernized version of the portal, the dashboard will allow analysis of data users, data demand, quantities of goods by category, areas of ministry supervision, update frequency, formats and other criteria. Some examples from new testing implementations: 
https://test.data.gov.lt/datasets/stats/category/? 
https://test.data.gov.lt/datasets/stats/frequency/?
https://test.data.gov.lt/datasets/stats/format/?";Change;Yes;The dashboard can be accessed here https://data.gov.lt/dataset/stats/jurisdiction/?
PT45;"Does this monitoring enable the portal team and/or data providers to take action to improve their performance on the national portal?

For Explanation:
* If yes, please (1) explain how and (2) if applicable provide the direct-URL to this feature. ";yes;The functionality of the portal allows data users to submit a data request, query and comment on a specific data set or missing required data directly to the data provider or to the Portal administration team.;Confirm;;
