;Dimension 2: Open Data Portal ;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
;2.1 Portal features;;;;;
PT1;"Is there a national portal in your country for that enables users to search for open datasets and find where to download open data? 

For Explanation:
* If yes, please provide the URL of the national portal.";yes;URL: https://data.gov.rs/sr/;Confirm;;
PT2;"For Explanation:
* What is the technology stack of your portal (e.g. based on uData, CKAN, etc.)";new question;new question;Change;uData;uData
PT3;"Does the national portal offer to its users a way to programmatically query the metadata via an API?

For Explanation:
* If yes, please provide the direct-URL to this feature.";new question;new question;Change;Yes;https://data.gov.rs/sr/apidoc/
PT4;"Does the national portal offer to its users a way to programmatically query the metadata via a SPARQL access point?

For Explanation:
* If yes, please provide the direct-URL to this feature.";new question;new question;Change;No;N/A
PT5;"Does the national portal offer/link to documentation on the use of APIs?

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";new question;new question;Change;Yes;https://data.gov.rs/sr/apidoc/
PT6;"Does the national portal offer/link to documentation on the use of SPARQL? 

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";new question;new question;Change;No;N/A
PT7;"Does the national portal provide functionality for users to contribute datasets they have produced or enriched? 

For explanation:
* If yes, please (1) explain how  the portal facilitate the linking of documentation and supporting materials to these user-contributed datasets and (2) provide the direct-URL to this feature.  ";new question;new question;Change;Yes;Users can open an account and publish datasets of their own. This feature is not visible thorough specific URL, however we can provide URL of such datasets: https://data.gov.rs/sr/datasets/sigurne-staze-i-putanje-kretanja-uchenika-osnovnikh-i-srednjikh-shkola-u-boru/, and https://data.gov.rs/sr/datasets/nauchnoistrazhivachki-prostor-republike-srbije/, and https://data.gov.rs/sr/datasets/putna-infrastruktura-srbije-geodata-nodes-and-edges-geojson/ There are more examples. Additionaly, under each dataset, users can add enriched version of dataset: https://data.gov.rs/sr/datasets/lista-standarda-interoperabilnosti/ (Resources of community)
PT8;"Does the national portal offer a mechanism for users to provide general feedback, such  a 'Contact us' or 'Feedback' button that is placed in a visible spot and would allows users to send a general comment concerning the portal?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";no;;Confirm;;
PT9;"Does the national portal offer a mechanism for users to provide feedback on specific datasets, such as a 'feedback button' or a comment/discussion section under the dataset?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";yes;"Under each dataset there is a ""discussion"" feature. Example: https://data.gov.rs/sr/datasets/3-6-1-stopa-smrtnosti-usled-povreda-u-drumskom-saobratshaju/";Confirm;;
PT10;"Does the national portal provide a mechanism for users to rate datasets?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";no;;Confirm;;
PT11;"Does the national portal enable users to find information and news on relevant open data topics in the country?

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";yes;Until the end of 2020, the news and information was available on the National Open Data Portal (https://data.gov.rs/sr/posts/), but with the launch of the Open Data Hub, news were moved to that address: https://hub.data.gov.rs/la/novosti/;Confirm;;
PT12;"Does the national portal offer the possibility for users to receive notifications when new datasets are available on the national portal (RSS, ATOM feeds, email notifications etc.)?

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";no ;;Change;Yes;RSS: https://data.gov.rs/sr/datasets/recent.atom
PT13;"Does the national portal enable users to request datasets, such as through a ""request data"" button? 

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";yes;"Through the Open Data Hub (connected to the National Open Data Portal) users are encouraged to connect and request data (right to data is regulated with the Law on eGovernment). Instructions are described in the Open Data Guide which is available on the Open Data Hub (https://data.gov.rs/_themes/govrs/doc/vodic-kroz-otvorene-podatke_cirilica.pdf), page 80 We don't have ""Request data"" button, as data can be requested from multiple sources, so it is not clear who would be responsible if such requests would come to one address (e.g. Open Data Portal). ";Confirm;;
PT14;"Are requests for datasets and their progress status presented in a transparent manner on the national portal? 

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";no;;Confirm;;
PT15;"Does the team monitor the extent to which requests (either via the portal or otherwise) result in the publication of the requested data?

For Explanation:
* If yes, please describe how this monitoring is conducted.";yes;Open Data team monitors this in coordination with the data stewards from the public administration through the regular meetings of the Open Data Working Group (each institution is asked to share whether they've received requests for data);Confirm;;
PT16;"Does the national portal offer a mechanism for users to exchange with others, such as a discussion forum?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";yes;"Under each dataset there is a ""discussion"" feature. Example: https://data.gov.rs/sr/datasets/3-6-1-stopa-smrtnosti-usled-povreda-u-drumskom-saobratshaju/";Confirm;;
PT17;"Does the national portal showcase reuse cases, such as in a designated section of the portal?

For Explanation:
* If yes, please provide the direct-URL to this feature. ";yes;https://data.gov.rs/sr/reuses/;Confirm;;
PT18;"Does the national portal reference the datasets that the showcased reuse cases are based on (i.e. there is a link between the reuse case in the showcase and the underlying dataset on the portal)?

For Explanation:
* If yes, please provide the URL to this feature/to an example documenting this feature.";yes;https://data.gov.rs/sr/reuses/platforma-otvoreni-budzheti/#used-datasets Used datasets are listed;Confirm;;
PT19;"Does the national portal provide the possibility for users to submit their own reuse cases?

For Explanation:
* If yes, please provide the direct-URL to this feature. ";yes;This feature is available upon signing in. In the list of the use cases, there are many of those added by the users: https://data.gov.rs/sr/reuses/;Confirm;;
PT20;"Does the national portal offer a preview function for tabular data?

For Explanation:
* If yes, please provide the URL to an example documenting this feature.";yes;"https://data.gov.rs/sr/datasets/15-3-1-udeo-degradiranog-zemljishta-u-ukupnim-kopnenim-povrshinama/ Preview is available once the user clicks on the ""eye"" button ";Confirm;;
PT21;"Does the national portal offer a preview function for geospatial data?

For Explanation:
* If yes, please provide the URL to an example documenting this feature.";no;;Confirm;;
PT22;"Do you promote high-value datastes on your national portal (e.g. use filtering features for reusers to easily find such datasets, use editorial features to promote the datasets, etc.))?

For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Not Applicable;Not Applicable
;2.2 Portal usage;;;;;
PT23;"Do you monitor the portal's traffic (e.g. in terms of number of unique visitors, visitor profiles, percentage of machine traffic, number of downloads according to the number of datasets etc.)? 

For Explanation:
* If yes, which tool(s) do you use?";yes;Matomo analytics, Google Analytics;Confirm;;
PT24;"Do you run analytics on API usage?

For Explanation:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal";yes;N/A;Confirm;;
PT25;"Besides monitoring portal traffic, do you perform any further activities to better understand the behaviour and needs of users of your portal (e.g. web analytics, surveys, or analysis of social media feeds)?

For Explanation:
* If yes, please (1) specify the activities and explain (2) how they help you understand user needs";yes;Web analytics, and meetings with the Open Data Community;Confirm;;
PT26;"Do you used the insights about portal usage and about the behaviour and needs of portal users to improve the portal accordingly?

For Explanation:
* If yes, please explain your process for improving the portal based on user insights and feedback
* If relevant, kindly highlight some improvements made in the past year";new question;new question;Change;Yes;Feedback from users is asked through meetups with the open data community (which includes governemnt, media, academia, tech, SMEs...), and the open data portal has been updated last year (2023). Some of the improvements: optimization of search options, visualization of tabular data, badging system to highlight official data, etc. 
PT27;"Do you undertake any activities to promote the portal and attract new users or new audiences?

For explanation:
* If yes, please (1) explain what activities your perform, and (2) mention if these activities are directed at any specific target audience (e.g. business, public sector, academia, etc.)";new question;new question;Change;Yes;For example, one of the activities which we have performed is the Regional Open Data Challenge, where one of the conditions for participation was the use of at least one public open data set (from the Open Data Portal, or any other public administration portal). https://www.undp.org/media/1075991/download?inline https://www.ite.gov.rs/vest/sr/7467/regionalni-izazov-otvorenih-podataka-2024.php
PT28;"Do you monitor what keywords are used to search for data and content on the portal?

For Explanation:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal";new question;new question;Change;Yes;We use Matomo and Google Analytics to monitor keywords which are used for search. We use these insights to improve accessibility and quality of datasets (data holders received feedback from Office for IT on how to improve datasets). 
PT29;"Do you monitor the most and least consulted pages?

For Explanation:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal
* For informational purposes, kindly provide the URLs to the five most popular datasets on the portal";new question;new question;Change;Yes;We use Matomo and Google Analytics. We use these insights to feature these datasets on the main page of the portal, in order to make them more visible and accessible. URLs: 1 - number of all registered agricultural farms / active farms https://data.gov.rs/sr/datasets/rpg-broj-svikh-registrovanikh-poljoprivrednikh-gazdinstava-aktivna-gazdinstva/, 2 - Data on traffic accidents https://data.gov.rs/sr/datasets/podatsi-o-saobratshajnim-nezgodama-po-politsijskim-upravama-i-opshtinama/, 3 - Address register https://data.gov.rs/sr/datasets/adresni-registar/, 4 - The timetable of public city transport in the territory of the city of Valjevo https://data.gov.rs/sr/datasets/red-vozhnje-javnog-gradskog-prevoza-na-teritoriji-grada-valjeva/, 5 - Register of housing communities https://data.gov.rs/sr/datasets/registar-stambenikh-zajednitsa-2/
PT30;"Do you take measures to optimise the search and discoverability of content (data and editorial)? 

For Explanation:
*If yes, please briefly describe how your optimise the search";yes;ITE provides support to the data publishers to provide better metadata, which contributes to the discoverability of the content. Additionaly, in the process od data publishing, there is a tool that measures the quality of metadata. ;Confirm;;
PT31;"Is the metadata on your portal available in clear plain language to enable both humans and machines to read and understand it? 

For Explanation:
*If yes, please provide the URL to an example documenting this feature.";yes;;Confirm;;
;2.3 Data provision;;;;;
PT32;"To what degree do public sector data providers contribute data to the portal? 

For Explanation:
*Please describe what is the agreed approach.
* If less than the majority of data providers, please briefly explain why (e.g. technical incompatibilities, governance aspects, low awareness etc.).";approximately half of the public sector data providers;The reasons behind are the combination of more than one: low awareness, governance aspects…;Confirm;;
PT33;Do you identify the data providers that are not yet publishing data on the national portal?;yes, or all public sector data providers already publish data;N/A;Confirm;;N/A
PT34;"Were there concrete actions taken to assist these data providers with their publication process?

For Explanation:
* If yes, could you provide some examples of the actions taken in this regard.";yes, or all public sector data providers already publish data;The Office for IT and eGovernment offers technical and other expert support to data providers wishing to publish open data, and organize targeted trainings and meeting sessions. ;Confirm;;
PT35;"Besides the national open data portal, are there other regional and local portals? 

For Explanation:
* If yes, please provide a complete list and the links to these portals.";Yes;There are several portals in the ownership of big data publishers: http://data.sepa.gov.rs/, https://opendata.stat.gov.rs/odata/, https://opendata.stat.gov.rs/odatasdgun/, https://data.poverenik.rs/, https://opendata.geosrbija.rs/loginopendata?next=%2F, https://opendata.mpn.gov.rs/ Additionaly, there is one local open data portal, for the city of Kragujevac: https://www.data.kragujevac.rs/;Confirm;;
PT36;"Are regional and local portals listed above and their data sources discoverable via the national portal? 

For Explanation:
* If not applicable, please briefly explain why. ";yes;;Confirm;;
PT37;"To what degree are  regional and local sources harvested automatically? 

For Explanation:
* If less than the majority of existing sources is harvested by the national portal, please briefly explain why.                        
* If not applicable, please briefly explain why. ";the majority of datasets;;Confirm;;
PT38;"Does the national portal include datasets that are real-time or dynamic?

For Explanation:
* If yes, please provide URLs to real-time and/or dynamic data featured via the national portal. ";yes;https://data.gov.rs/sr/datasets/kontsentratsije-polena-u-vazdukhu-api/, https://data.gov.rs/sr/datasets/kvalitet-vazduha/;Confirm;;
PT39;"Does the national portal provide a way for non-official data (i.e. not stemming from official sources, such as community-sourced/citizen-generated data) to be published? 

For Explanation:
* If yes, please explain how non-official data is distiguished for offical data (e.g. using a different section of the portal or tags) 
* And please provide a URL to an example of a non-official dataset on the portal ";new question;new question;Change;Yes;Users can open an account and publish datasets of their own. Non-official data is distinguished from official through badging system (this process is currently underway), where official data holders will receive a badge. Example of the badge: https://data.gov.rs/sr/organizations/tsiljevi-odrzhivog-razvoja-tsor-republichki-zavod-za-statistiku/ Examples of non-official datasets: https://data.gov.rs/sr/datasets/sigurne-staze-i-putanje-kretanja-uchenika-osnovnikh-i-srednjikh-shkola-u-boru/, and https://data.gov.rs/sr/datasets/nauchnoistrazhivachki-prostor-republike-srbije/, and https://data.gov.rs/sr/datasets/putna-infrastruktura-srbije-geodata-nodes-and-edges-geojson/ There are more examples.
PT40;"Does the national portal allow users to see what data exists but cannot be made available as open data?

For Explanation:
* If yes, please (1) provide the URL to an example and (2) briefly describe the approach used to ensure this transparency.";no;;Confirm;;
;2.4 Portal sustainability;;;;;
PT41;"Does the national portal have a strategy to ensure its sustainability?

For Explanation:
* If yes, please (1) provide the URL to this document and (2) describe the main measures to keep the portal running in the long-term and continue to serve its audience";new question;new question;Change;Yes;The National Open Data Portal is managed by the Office for IT and eGovernment (by the Regulation on Open Data Portal, Official Gazzete 104/2018), hence ensuring sustainability. 
PT42;"Is your national portal active on social media? 

For Explanation:
* If yes, please provide the URL(s) to your social media accounts. ";yes;The portal itself does not have an accounts, but instead accounts of the Office for IT and eGovernment are used for this purposes. For example on Twitter: https://twitter.com/search?q=%23opendatawednesdays&src=typed_query;Confirm;;
PT43;"Are the portal’s source code and relevant documentation and artefacts made available to the public (e.g. on platforms such as GitHub or GitLab)?

For Explanation:
*If yes, please provide the (1) platform name and (2) the URL to the portal’s account on this platform.  ";yes;The portal is based on the open uData platform: https://github.com/opendatateam/udata;Confirm;;
PT44;"Do you monitor the characteristics of the data published on the portal, such as the distribution across categories, static vs. real-time data and how these change over time?

For Explanation:
* If yes, please provide the direct-URL to this feature";yes;Dashboard for the local level datasets: https://app.powerbi.com/view?r=eyJrIjoiMzIzZGRmMTUtYWNmYi00ODFiLTlkNzktZGY3ZjllZjA0YjIyIiwidCI6ImU5ODY5ZDllLTVmMTYtNDE1Ni04OWIwLWQ1MTYzMGZmNzAwMCIsImMiOjl9&embedImagePlaceholder=true&pageName=ReportSection4f901c371aea6dfeb859, Dashboard for the all datasets: https://app.powerbi.com/view?r=eyJrIjoiYTkyOGFkMWItNTZhYS00ODQ5LTljNTEtZmE2M2FlZThmZjIzIiwidCI6ImU5ODY5ZDllLTVmMTYtNDE1Ni04OWIwLWQ1MTYzMGZmNzAwMCIsImMiOjl9&embedImagePlaceholder=true&pageName=ReportSection Dashboard for the national open data sets: https://app.powerbi.com/view?r=eyJrIjoiYTkyOGFkMWItNTZhYS00ODQ5LTljNTEtZmE2M2FlZThmZjIzIiwidCI6ImU5ODY5ZDllLTVmMTYtNDE1Ni04OWIwLWQ1MTYzMGZmNzAwMCIsImMiOjl9&embedImagePlaceholder=true;Confirm;;
PT45;"Does this monitoring enable the portal team and/or data providers to take action to improve their performance on the national portal?

For Explanation:
* If yes, please (1) explain how and (2) if applicable provide the direct-URL to this feature. ";yes;Monitoring is implemented for the following aspects: format, quality, description, frequency of the update, etc. This information is shared with the data providers, with recommendations for improvement. ;Confirm;;
