;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;"The Italian legislation expressly provides for the definition of reuse of open data in the Digital Administration Code - legislative decree 82/2005 - Article 1, paragraph n-bis), where reuse means ""use of the data referred to in Article 2(1)(e) of legislative decree no. 36 of 24 January 2006"";
 [ https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2005-03-07;82 ]
The provision refers back to the definition contained in turn in Legislative Decree 36/2006 on the transposition of the PSI Directive, as subsequently amended by  the Legislative Decree 200 of 8 November 2021 transposing the Open Data Directive. Specifically:
(e) re-use: the use by natural or legal persons of documents held by: 
      (1) public administrations or bodies governed by public law for commercial purposes or for non-commercial purposes other than the institutional purposes for which the documents were produced, with the exception of except for the exchange of documents between public administrations or bodies governed by public law, or between administrations and bodies governed by public law, carried out exclusively within the framework of the performance of the institutional tasks of which they are holders; 
      (2) public undertakings and private undertakings referred to in Article 1, paragraph 2-quater, for commercial purposes or for non-commercial purposes other than those relating to the provision of services of general interest general interest services for which the documents have been produced, with the exception of for the exchange of documents between public undertakings and public administrations or bodies governed by public law set up exclusively within the framework of the performance of the tasks institutional tasks of the public administrations 
 [ https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2006-01-24;36~art2-com1-lete  ]";Confirm;;;;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";yes;"The processes are conducted at public body level, such as at regional level. 
Some examples:
The Open Data portal of the Emilia Romagna Region provides an online form to collect information about the re-use made of the data (https://dati.emilia-romagna.it/?q=contact/Segnala-un-uso-dei-dati);
Lombardia Region collects information about the cases of re-use of the datasets published in the regional data portal (https://www.dati.lombardia.it/Government/Utilizzo-dei-dataset/m58v-fh6e/data);
At local level, Lecce Municipality publishes a page in the open data portal with the list of apps, dashboards and viz developped by reusing the open data documented in that portal (http://dati.comune.lecce.it/blog/?page_id=165);
The public undertaking TPER publishes a list of apps developped by reusing open data made available (https://www.tper.it/apps).
The Istituto Nazionale di Previdenza Sociale has dedicated a page in the Open Data section of the portal ""Applications implemented"" to record all the initiatives of re-use of Open Data.  
[ https://www.inps.it/nuovoportaleinps/default.aspx?sPathID=%3b0%3b46292%3b46305%3b&lastMenu=46305&iMenu=12&p4=2 ].
The Institute also constantly monitors the downloads of Open Data from the Institutional portal by locating and analyzing them.  It is possible to have a summary of the downloads on a national scale on the page of the ""Open Data Inps Distribution"" portal.  
[ https://www.inps.it/nuovoportaleinps/default.aspx?sPathID=%3b0%3b46292%3b46305%3b46294%3b&lastMenu=46294&iMenu=12&iNodo=46294&p4=2 ] ";Change;Yes;"The processes are conducted at public body level, such as at regional level. 
Some examples:
The Open Data portal of the Emilia Romagna Region provides an online form to collect information about the re-use made of the data (https://dati.emilia-romagna.it/?q=contact/Segnala-un-uso-dei-dati);
Lombardia Region collects information about the cases of re-use of the datasets published in the regional data portal (https://www.dati.lombardia.it/Government/Utilizzo-dei-dataset/m58v-fh6e/data);
The public undertaking TPER publishes a list of apps developped by reusing open data made available (https://www.tper.it/apps).

On the portal dati.puglia.it there are  statistics about the datasets published, in the statistics section [most downloaded resources, most viewed resources, etc.]. Moreover, in order to monitor the level of reuse of open data, the https://odlab.regione.puglia.it/ section has been developed, which can always be accessed from the single regional open data portal dati.puglia.it, and which contains testimonials on regional open data reuse projects.

The portal dati.toscana.it is monitored through the platform Web Analytics Italia with statistics on access and download.";;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";yes;"If data are made available through APIs, the public bodies and undertakings fullfilling public services are required to describe those APIs in the APIs Catalogue included in the National Digital Data Platform established by the article 50-ter of the Digital Administration Code. This article also states that through that Platform it is possible collecting and storaging information about the access and transactions carried out to data distributed through the APIs.
https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2005-03-07;82";Change;Yes;"The Open Data Guidelines recommend to define prioritisation and opening plan by identifying criteria and modalities for opening up. One of the criteria is a demand-driven approach that takes into account the economic and social impact as well as the level of interest and needs of users.
The measure of the impact is also indicated with the aim of assessing the effectiveness of the openness process.

https://www.agid.gov.it/sites/default/files/repository_files/lg-open-data_v.1.0_1.pdf";;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"A specific action has been included in the latest Three-Year Plan for ICT in PA to monitor the publication of High-Value Datasets starting from December 2024.
It is also planned to put in place a mechanism for monitoring and measuring the level of reuse of HVDs and open data, in general.

";;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;"A definition of 'impact of open data' is included in the Guidelines for the implementation of the Legislative Decree no. 36/2006 (as amended by Legislative Decree no. 200/2021 transposing Directive (EU) 2019/1024) - https://www.agid.gov.it/sites/default/files/repository_files/lg-open-data_v.1.0_1.pdf. It is defined as ""The set of effects and benefits obtained directly or indirectly from the use and/or reuse of open data in specific policies, areas, or domains"". It is also suggested to consider as domains against which to measure impact those ones used in the maturity report, namely: society, government, economy and environment";Confirm;;;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";yes;"The use and impact of open data are included in a specific section of the annual report ""The ICT spending in the Italian PA"", see https://www.agid.gov.it/sites/default/files/repository_files/_la_spesa_ict_2021_nella_pa_italiana_-_principali_trend_e_percorsi_in_atto_final_v.02_2.pdf
This report is also linked to the Three-Year Plan for ICT in the PA that includes specific actions on data and open data. The implementation of those actions is annually measured and monitored, see  https://monitoraggiopianotriennale.italia.it/                                                                                                                                                                                           In the first report described, regarding the impact of Open Data, the paragraph 4.3 Data Governance e Open Data describes how the availability of open data in central and local government supports web and mobile application development activities. Development activities on open format datasets are very varied. In particular, it highlights the development of vertical applications (for the management of building sites, state property, etc.), and dashboard solutions enabling the analysis of real-time data (traffic, infomobility, weather, territory and environment) and of data at regional and municipal level (labour, expenditure, health, housing market). As can be seen from the graphs, a comparison was made between the extent of the release of datasets in open format and the development of services and applications based on the released data.
The second link indicated relates specifically to the monitoring of the objectives defined in the Three-Year Plan, and provides in open format all data related to this monitoring. The analysis of the rates of achievement of the objectives allows the comparison needed to analyse the impact of open data on digital services and any other aspect of interest.                                                                                                                       ";Complement;;The updated first link is https://www.agid.gov.it/sites/default/files/repository_files/26_07_rapporto_spesa_ict_2022.pdf;;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;"A series of meetings, as part of the Forum PA's Cantieri project, involving stakeholders from both civil society and government,  addressing the issues from the point of view of reusers and public and private entities engaged in impact measurement initiatives:
14/6/2022 – “Open data and interoperability: enhancing PA information assets to enable the once-only principle”. Full interoperability of public datasets is one of the main objectives pursued by the strategies for digital PA, including through the resources provided by the NRP. Specifically, the Plan aims to overcome vertical silos that are not interconnected through the implementation of the Digital National Data Platform (PDND) and the central catalog of APIs for accessing information held by public bodies. In this talk dedicated to the topic of data governance in the public sphere, we will delve into the challenges that await PAs as part of the path to implementing the data and interoperability measures envisaged by the NDPND, listening to the experience of some of the main administrations involved and the technology companies that are proposed as enablers of this important process. https://www.forumpa.it/manifestazioni/forum-pa-2022/dati-pubblici-e-interoperabilita-valorizzare-il-patrimonio-informativo-della-pa-per-abilitare-il-principio-once-only/ 

14/6/2022 “Replicability of an Italian good practice in Europe: Open Data, Civic Monitoring and Cohesion Policies in Schools”. A Scuola di OpenCoesione (ASOC) is an innovative digital education pathway aimed at promoting and developing principles of active and aware citizenship in Italian schools through research activities and civic monitoring of European and national public funding, to answer the fundamental question, ""How is public money spent in the territories?"" ASOC makes it possible to introduce in schools the themes of civic monitoring, active citizenship, and participation, through an educational model structured by phases and moments of confrontation. A model that has become a point of reference in national and European cohesion policies, so much so that it has been successfully transferred and replicated in several EU countries, and recently put at the center of new experimentation also in the context of European Territorial Cooperation.
https://www.forumpa.it/manifestazioni/forum-pa-2022/replicabilita-di-una-buona-pratica-italiana-in-europa-open-data-monitoraggio-civico-e-politiche-di-coesione-nelle-scuole/

A tool for civic monitoring of public procurement of projects included in the National Recovery and Resilience Plan https://www.youtube.com/watch?v=SWWagTJ5nXE&t=915s
https://www.youtube.com/watch?v=SWWagTJ5nXE&t=1911s";Change;Yes;"The co-creation process involving representatives of PAs and CSOs (civil society organizations) belonging to the OGP IT Community continues with the aim of defining the 6° National Open Government Plan (6NAP) where also activities on Open Data are included also with reference to their impact.
https://open.gov.it/notizie/continuano-lavori-percorso-co-creazione-definire";;;
