;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;"In France, according to a broad definition that is commonly accepted, “reuse” refers to the use of public data by third parties for purposes other than the public service mission for which the data was produced or received (this definition has been recalled here : (https://www.data.gouv.fr/fr/posts/nos-reflexions-sur-les-reutilisations-des-donnees-ouvertes/).

This definition stems from the Code of Relations between the Public and the Administration : “Public information contained in documents communicated or published by the administrations mentioned in the first paragraph of article L. 300-2 may be used by any person who wishes to do so for purposes other than those of the public service mission for which the documents were produced or received.” (https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000033219044). This definition is similar to the PSI Directive definition : “Public sector bodies collect, produce, reproduce and disseminate documents in order to fulfil their public service mission. The use of these documents for other purposes constitutes re-use.”

The complexity and the need to clarify the definition of reuse has been emphasised in the literature, particularly with respect to research data, a key issue being the distinction between use and reuse.

Besides that definition, more restrictive approaches have also emerged : some consider that only perennial uses of data are reuses while others consider any use of data as reuse.

In our day to day operations, any exploitation of data in order to obtain information is considered as reuse, whether this exploitation is freely accessible or not : following that definition, a use of private data or a data journalist’s work to prepare for an investigation will be considered as reuse.";Confirm;;;;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";yes;"In France, quantitative and qualitative processes have been implemented to grasp the level of open data re-use :

- The monitoring of datasets metrics through the national open data portal [data.gouv.fr](http://data.gouv.fr/) : datasets visit and download metrics as well as the metrics on reuses published are tracked to understand which datasets are the most popular and to follow popularity dynamics (https://stats.data.gouv.fr/). We are currently working on a new interface to showcase those metrics but also trends and dynamics : [http://activites-datagouv.app.etalab.studio/](http://activites-datagouv.app.etalab.studio/)
- The monitoring of reuses referenced on the national open data portal [data.gouv.fr](http://data.gouv.fr/) ([https://www.data.gouv.fr/fr/reuses/)](https://www.data.gouv.fr/fr/reuses/)) : reusers are encouraged to publish their reuse work linked to a dataset, and their publications are monitored by the [data.gouv.fr](http://data.gouv.fr/) team on a daily basis and also allow data producers to have visibility on the reuses developed from their open data. To this day, more than 3 000 reuses have been shared on the [data.gouv.fr](http://data.gouv.fr/) portal and we are working on engaging more reusers to publish their work in order to track them better, for example with a custom user flow : [https://www.data.gouv.fr/fr/pages/onboarding/reutilisateurs/](https://www.data.gouv.fr/fr/pages/onboarding/reutilisateurs/)
- Interviews with data producers and data reusers : the [data.gouv.fr](http://data.gouv.fr/) team regularly interviews data producers and data reusers to identify emblematic reuses on important datasets and gather information about them. Part of the learnings gathered from those interviews can be found here : [https://www.data.gouv.fr/fr/posts/comment-ladministration-utilise-les-donnees-publiques-lexemple-des-startups-detat/](https://www.data.gouv.fr/fr/posts/comment-ladministration-utilise-les-donnees-publiques-lexemple-des-startups-detat/) ; [https://www.data.gouv.fr/fr/posts/comment-les-donnees-de-transport-contribuent-a-ameliorer-la-mobilite-et-laction-publique/](https://www.data.gouv.fr/fr/posts/comment-les-donnees-de-transport-contribuent-a-ameliorer-la-mobilite-et-laction-publique/) ; [https://www.data.gouv.fr/fr/posts/comment-lopen-data-devient-un-outil-de-formation-essentiel-dans-lenseignement-superieur](https://www.data.gouv.fr/fr/posts/comment-lopen-data-devient-un-outil-de-formation-essentiel-dans-lenseignement-superieur) and more detailed here : [https://www.data.gouv.fr/fr/datasets/r/a61e1fcc-cd61-46bd-a6c5-af94cb9f8459](https://www.data.gouv.fr/fr/datasets/r/a61e1fcc-cd61-46bd-a6c5-af94cb9f8459)
- Surveys to gather reuse information from reusers : numerous data producers conduct those type of surveys, namely the Ministry of Culture who has carried out a public consultation on the reuse of cultural public data : [https://www.culture.gouv.fr/Thematiques/Innovation-numerique/Actualites/Open-data-decouvrez-les-resultats-de-la-consultation](https://www.culture.gouv.fr/Thematiques/Innovation-numerique/Actualites/Open-data-decouvrez-les-resultats-de-la-consultation)
- The animation of communities, that can be done at the level of an administration or with an interdepartmental scope.";Confirm;;;;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";yes;"Public bodies are highly encouraged to monitor the re-use of their own published data.

First, while helping data producers in opening their data, Etalab strongly advocates for the monitoring of one’s published data, emphasising the benefits of doing so. Parts of our arguments are available here : (https://www.data.gouv.fr/fr/posts/quel-suivi-des-usages-des-donnees-ouvertes/).

Etalab’s strategy for the monitoring of reuses is one where we aim to empower data producers in doing so. Therefore, our efforts are dedicated to providing them with the help to measure reuse, thus incentivising them :

- We provide them with tools, namely metrics and notifications on new reuses published (https://www.data.gouv.fr/en/datasets/catalogue-des-donnees-de-data-gouv-fr/), and we are today working on making them even more accessible to them : https://www.linkedin.com/posts/antonin-garrone-8272bb154_nous-sommes-en-train-de-travailler-sur-la-activity-7043991572467601409-LvWL/?utm_source=share&utm_medium=member_desktop.
- We provide them with methodological guidelines on how to measure reuse : https://etalab-2.gitbook.io/guides/publier-des-donnees/guide-qualite/ameliorer-la-qualite-dun-jeu-de-donnees/connaitre-et-suivre-les-usages-dun-jeu-de-donnees

To deepen this approach, we interviewed data producers to understand how we can better help them follow their open data reuses. Insights are in this study : https://www.data.gouv.fr/fr/datasets/r/a61e1fcc-cd61-46bd-a6c5-af94cb9f8459.

We also have programs that promote the measurement of reused data.

Etalab supports administrations in measuring data that is reused on a daily basis. In addition, specific programs for transforming public administration through data enable the importance of open data to be introduced and the need to measure reuse :

- The program “[Entrepreneurs d’intérêt général](https://entrepreneur-interet-general.etalab.gouv.fr/)” creates new opportunities to hire civil servants with high level digital skills within the administration, to improve public service mission and to transmit new skills in public organisation. The proposed challenges are often based on the use of data to better implement public policies. Many challenges have an open data component. In this perspective, the EIG programme emphasises the need to monitor the reuse of open data.
- The “Lab IA” program assists administrations in the use of their data thanks to data sciences and artificial intelligence. Some of the projects have an open data component. In this perspective, the programme emphasises the need to monitor the reuse of open data.";Complement;;Yes. - First, public statistics that are available on the portal: Public Statistics Guide - Second, our strategy is to empower data producers in measuring usage. We produce recommendations and guides to this end: Improving Data Quality Continuously;;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;We monitor the usage of high-value data by relying on statistics and reuses. We plan to conduct surveys by data theme, as we have done for the Public Data Service.;;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;"The Open Data Mission led by MP Eric Bothorel defines four impact areas for open data : scientific as a vector of knowledge, economical as a driver of innovation, democratic to improve public service and political to restore people’s confidence in public action (https://www.gouvernement.fr/upload/media/default/0001/01/2020_12_rapport_-_pour_une_politique_publique_de_la_donnee_-_23.12.2020_.pdf) : p.22-23). This view is in line with the ministerial strategy on open data, which is focused on openness i.e. more public open data to foster innovation and transparency, to enhance the external evaluation of governmental policy and the democratic debate. In this regard, the final report of the Open Data Mission recommends to assess the economical, social and scientific impact of the opening and sharing of data and source codes (https://www.gouvernement.fr/upload/media/default/0001/01/2020_12_rapport_-_pour_une_politique_publique_de_la_donnee_-_23.12.2020_.pdf) : p.13).

The vision previously detailed is embraced within Etalab, as we consider that open data impact is manifold and can be measured through different ways.

The four impact areas can be translated in three kind of audiences :

- Administrations that improve the delivery of public services
- Citizens who benefit from greater transpaency
- Companies, NGOs, researchers, etc. who use data to gain knowledge and create new innovative products and services.

As a final remark, the impact of open data can be measured both qualitatively and quantitatively, in a complementary way : we thus carry out both an analysis of quantitative metrics on our national open data portal data.gouv.fr and of qualitative impact by interviewing portal users, data producers and reusers.

In the official interministerial data administration framework (https://static.data.gouv.fr/resources/politique-publique-de-la-donnee-des-algorithmes-et-des-codes-sources-15-feuilles-de-route-ministerielles/20210927-160143/cadre-interministeriel-donnee.pdf), the interministerial director for digital affairs outlines the vision and challenges of data-driven public action. Data is said to be « the strategic asset of the digital revolution », and its impact on public action is broken down into five areas : transparency, production of better public services, efficacy, supportiveness, creation of economic value.

At the request of the Prime Minister, an unprecedented mobilisation has taken place in all ministries about data, algorithms and source codes : together, within a shared interministerial framework, each ministry has defined its strategy in this area and has broken it down into a plan of concrete actions to be implemented over a period of 2 to 3 years. The 15 ministerial roadmaps on data, algorithms and source codes are available here (https://www.data.gouv.fr/fr/datasets/politique-publique-de-la-donnee-des-algorithmes-et-des-codes-sources-15-feuilles-de-route-ministerielles/) and the list of actions decided by the ministries in the framework of the ministerial roadmaps is available in open data here (https://www.data.gouv.fr/fr/datasets/liste-des-actions-prises-par-les-ministeres-dans-le-cadre-des-feuilles-de-routes-ministerielles/). Each ministerial roadmap specifies the impact of open data in their respective field : for example, the Ministry of Justice has defined a list of impact indicators, the Ministry of Ecological Transition has outlined the specific impact of open data on the environment, etc.";Complement;Yes;We have implemented specific impact indicators to measure the impact of data.gouv.fr, which is an indirect way of measuring the impact of open data.;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";yes;"Etalab has developed a systematic impact assessment methodology. This methodology proposes to estimate the impact of open data by examining four different levels or layers :

- First level : raw data itself : number of datasets published, downloaded, etc. For this first level, we analyse visits to dataset pages, datasets downloads, etc. by using data.gouv.fr metrics available on [stats.data.gouv.fr](http://www.stats.data.gouv.fr/). We are then able identify datasets with the highest impact and the ones that are highly demanded. The [data.gouv.fr dataset catalogue](https://www.data.gouv.fr/fr/datasets/catalogue-des-donnees-de-data-gouv-fr/) also provides visibility on published datasets with their associated metadata and metrics. This provides a more global knowledge on user behavior on the national platform.
- Second level : direct uses of the data : number of reuses on datasets. For this second level, we examine how many reuses are known for each dataset and their nature.
- Third level : indirect uses of raw data : usages of the reuses developed from open data. For this third level, we investigate how much open data reuses are themselves used (this is sometimes impossible to know).
- Fourth level : externalities : societal and economic impacts of open data. For this fourth level, we document the impacts on the datasets for which we have observed high impact in a structured assessment report : general description, reuser, value proposition, datasets used, partners involved, results, next steps and learnings, etc.

This methodology is presented and detailed in a working paper exploring how to measure open data impact : https://www.data.gouv.fr/fr/datasets/r/a61e1fcc-cd61-46bd-a6c5-af94cb9f8459

We are continuously trying to improve this impact assessment methodology by integrating other countries’ best practices. We have participated in several working groups on this topic and have already presented our approach on numerous occasions, namely [data.europa academy webinar ´Measuring open data Impact in Europe](https://www.youtube.com/watch?v=Cp7-qSNLR1U)";Complement;Yes;"In addition to the platform's impact indicators, we now rely on the outputs, outcomes, and impacts methodology, which is quite similar to our level-based evaluation.

We then break it down by theme.";;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;"We are very lucky to have a strong and active civil society in France on open data.

The COVID-19 crisis has been a catalyst for collaboration between government and civil society. Open data made it possible for impactful tools to be built, for example ViteMaDose [https://vitemadose.covidtracker.fr/](https://vitemadose.covidtracker.fr/) that checks for available slots in vaccination centres and is based on the list of said centres, pharmacists and GPs that administer vaccines. The development of the COVID-19 dashboard on the Government website was also a coordinated effort from different actors to create impact : [https://www.etalab.gouv.fr/comment-les-administrations-ont-collabore-a-louverture-des-donnees-du-coronavirus-le-cas-francais](https://www.etalab.gouv.fr/comment-les-administrations-ont-collabore-a-louverture-des-donnees-du-coronavirus-le-cas-francais).

Within the framework of the Open Government Partnership [https://www.modernisation.gouv.fr/nos-actions/gouvernement-ouvert/ouvrir-laction-publique-construisons-ensemble-le-plan-daction-gouvernement-ouvert-2021-2023-de-la-france](https://www.modernisation.gouv.fr/nos-actions/gouvernement-ouvert/ouvrir-laction-publique-construisons-ensemble-le-plan-daction-gouvernement-ouvert-2021-2023-de-la-france), the next French Action Plan is being developed together with governmental actors such as the DITP, Etalab, and cada.fr, civil society associations such as madada.fr and ouvre-boite.org, and journalists. This action plan aims to create impact on important themes for French people : transparency of public action results, environmental issues, local public action, users at the heart of public action, citizen participation, digital inclusion, etc.

In 2022, Etalab has collaborated with Latitudes, a non-profit promoting « Tech for good », to design an « Open Data University » : [https://www.data.gouv.fr/fr/pages/odu/home/](https://www.data.gouv.fr/fr/pages/odu/home/). This program, that aims at teaching higher education students how to reuse open data, provides teachers with high impact open data projects for their students to work on and create impact. This year, 5 projects on high value added datasets have been designed and led to impactful reuses :

- Cycling infrastructures : Students are being asked to find out where to build cycling infrastructures to reduce cycling accidents and improve road safety [https://www.data.gouv.fr/fr/pages/odu/defi_infrastructures-cyclables/](https://www.data.gouv.fr/fr/pages/odu/defi_infrastructures-cyclables/)
- Energy issues in France : Students are being asked to analyse and make predictions to better understand the possible impacts of the Ukrainian crisis on energy in France : [https://www.data.gouv.fr/fr/pages/odu/defi_energie/](https://www.data.gouv.fr/fr/pages/odu/defi_energie/)
- Middle school sectors : Students are being asked to design a tool to make it easier for parents to know which middle school to enroll their child in : [https://www.data.gouv.fr/fr/pages/odu/defi_carte-scolaire/](https://www.data.gouv.fr/fr/pages/odu/defi_carte-scolaire/)
- French recovery plan after the COVID-19 crisis : Students are being asked to assess the extent to which the aid distributed by the State as part of the recovery plan has had an impact on economic activity and/or ecological transition in France : [https://www.data.gouv.fr/fr/pages/odu/defi_france-relance/](https://www.data.gouv.fr/fr/pages/odu/defi_france-relance/)
- Electric vehicles : Students are being asked to find out whether the distribution of charging infrastructures on the territory correspond to a logic of population distribution and/or road traffic : [https://www.data.gouv.fr/fr/pages/odu/defi_vehicules-electriques/](https://www.data.gouv.fr/fr/pages/odu/defi_vehicules-electriques/)

Through the Accelerator of citizen initiatives [https://citoyens.transformation.gouv.fr/](https://citoyens.transformation.gouv.fr/), Etalab has collaborated with Infoclimat to create impact with weather data and make them more accessible to all : [https://www.infoclimat.fr/](https://www.infoclimat.fr/)";Complement;Yes;"Among projects in France, we can mention:

OpenStreetMap
OpenFoodFact
The Open Data University project";;;
